PLACA,Grupo,Modelo Original frota,Modelo Padrão,Modelo Simplificado,Ano,Idade
SFI4A36,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
SFI4A38,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
SFI5F67,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
SFI6G49,Leve,VIRTUS TSI 1.0 FLEX 12V 4P AUT.,VW VIRTUS,VW VIRTUS,2024,1.0
SFI6G52,Leve,VIRTUS TSI 1.0 FLEX 12V 4P AUT.,VW VIRTUS,VW VIRTUS,2024,1.0
SFI6G54,Leve,VIRTUS TSI 1.0 FLEX 12V 4P AUT.,VW VIRTUS,VW VIRTUS,2024,1.0
SFI6G56,Leve,VIRTUS TSI 1.0 FLEX 12V 4P AUT.,VW VIRTUS,VW VIRTUS,2024,1.0
SFI6J88,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
SFI6J89,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
SFJ4D58,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
SFJ4D59,Pesado,SPRINTER 417 FURGÃO EXT. L.T.A DIE. (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
SFJ5H71,Caminhão12Ton,VM 290 6X2 2P (DIESEL) (E6),VOLVO VM 290,CAMINHÃO TRUCK ,2024,1.0
SFJ5H72,Caminhão12Ton,VM 290 6X2 2P (DIESEL) (E6),VOLVO VM 290,CAMINHÃO TRUCK ,2024,1.0
SFK1E38,Caminhão4.2Ton,HD80 3.0 16V (DIESEL)(E5),HY HD80 ,CAMINHÃO 3/4,2023,2.0
SFK1E48,Caminhão4.2Ton,HD80 3.0 16V (DIESEL)(E5),HY HD80 ,CAMINHÃO 3/4,2023,2.0
SFK1E50,Caminhão9Ton,ATEGO 1419 4X2 2P (DIESEL)(E6),	MB ATEGO 1419,CAMINHÃO TOCO ,2024,1.0
SFL1E46,Leve,POLO TRACK 1.0 FLEX 12V 5P,VW POLO,VW POLO,2023,3.0
SFL2F07,Caminhão4.2Ton,HD80 3.0 16V (DIESEL)(E5),HY HD80 ,CAMINHÃO 3/4,2023,2.0
SFL3H42,Caminhão4.2Ton,HD80 3.0 16V (DIESEL)(E5),HY HD80 ,CAMINHÃO 3/4,2023,2.0
SFL9J84,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
SFM2I59,Caminhão5.5Ton,ACCELO 1017 4X2 2P (DIESEL) (E6),MB ACCELO 1017,CAMINHÃO 3/4,2024,1.0
SFM3H28,Caminhão5.5Ton,ACCELO 1017 4X2 2P (DIESEL) (E6),MB ACCELO 1017,CAMINHÃO 3/4,2024,1.0
SFM3H30,Caminhão5.5Ton,ACCELO 1017 4X2 2P (DIESEL) (E6),MB ACCELO 1017,CAMINHÃO 3/4,2024,1.0
SFM3H31,Caminhão5.5Ton,ACCELO 1017 4X2 2P (DIESEL) (E6),MB ACCELO 1017,CAMINHÃO 3/4,2024,1.0
SFM3H34,Caminhão5.5Ton,ACCELO 1017 4X2 2P (DIESEL) (E6),MB ACCELO 1017,CAMINHÃO 3/4,2024,1.0
SFM3H40,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
SFM3H41,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
SFM3H42,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
SFM3H44,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
SFM3H45,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
SFM3H46,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
SFM3H48,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
SFM3H49,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
SFM3H52,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
SFM3H54,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
SFN2E86,Pesado,SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
SFN8F94,Caminhão12Ton,VM 290 6X2 2P (DIESEL) (E6),VOLVO VM 290,CAMINHÃO TRUCK ,2024,1.0
TAJ3D96,Caminhão10.5Ton,17-210 CONSTELLATION 4X2 2P (DIESEL)(E6),VW 17 210,CAMINHÃO TOCO ,2024,1.0
TAJ6B89,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2025,1.0
TAP2C35,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
TAP2C36,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
TAP2C38,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
TAP2C39,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
TAP2C40,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
TAP3G60,Pesado,SPRINTER 417 FURGÃO EXT. L.T.A DIE. (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
TAS4G97,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
TAS4G98,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
TAS4G99,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
TAS4H01,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
TAS4H02,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
TAS4H03,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
TAS4H04,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
TAS4H06,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
TAS4H09,Pesado,SPRINTER 517 F. EXT. L. T.A. DIE. (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
TAS4H11,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
TAS4H12,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
TAS4H20,Pesado,SPRINTER 517 F. EXT. L. T.A. DIE. (E6),MB SPRINTER ,MB SPRINTER ,2025,0.0
TAV9E95,Caminhão10.5Ton,ATEGO 1719 4X2 2P (DIESEL)(E6),MB ATEGO 1719,CAMINHÃO TOCO ,2024,1.0
TAV9E96,Caminhão10.5Ton,ATEGO 1719 4X2 2P (DIESEL)(E6),MB ATEGO 1719,CAMINHÃO TOCO ,2024,1.0
TAW2B27,Caminhão6Ton,11-180 DELIVERY 4X2 2P (DIESEL)(E6),VW 11 180 DRC 4X2,CAMINHÃO 3/4,2025,0.0
TAW3H21,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
TAW3H22,Pesado,SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
TAW7H30,Caminhão6Ton,11-180 DELIVERY 4X2 2P (DIESEL)(E6),VW 11 180 DRC 4X2,CAMINHÃO 3/4,2025,0.0
TAW7H31,Caminhão10.5Ton,ATEGO 1719 4X2 2P (DIESEL)(E6),MB ATEGO 1719,CAMINHÃO TOCO ,2024,1.0
TAX5J72,Caminhão10.5Ton,ATEGO 1719 4X2 2P (DIESEL)(E6),MB ATEGO 1719,CAMINHÃO TOCO ,2024,1.0
TAZ4A46,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2024,1.0
TAZ4A48,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2024,1.0
TAZ4A49,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
TAZ7D64,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER,2024,1.0
TAZ7D65,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
TBA7D21,Pesado,SPRINTER 517 F. EXT. L. T.A. DIE. (E6),MB SPRINTER ,MB SPRINTER ,2025,0.0
TBG7A10,Caminhão12Ton,ATEGO 2429 6X2 2P (DIESEL)(E6),MB ATEGO 2430,CAMINHÃO TRUCK ,2025,0.0
TBG7A13,Caminhão12Ton,ATEGO 2429 6X2 2P (DIESEL)(E6),MB ATEGO 2430,CAMINHÃO TRUCK ,2025,0.0
TBK1J24,Pesado,SPRINTER 517 F. EXT. L.P.T.A. DIE. (E6),MB SPRINTER ,MB SPRINTER ,2024,1.0
BDE5I40,Pesado,SPRINTER 515 FURGÃO E.L.T. ALTO 2.2 DIE.,MB SPRINTER ,MB SPRINTER ,2024,1.0
BDZ5E70,Moto,CG 160 START,CG 160 START,CG 160 START,2020,5.0
BEY4C18,Caminhão9Ton,13-180 DELIVERY 6X2 2P (DIESEL)(E5),VW 13 180 DRC ,CAMINHÃO TOCO ,2022,3.0
RHS8D28,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO ,FIAT FIORINO ,2022,3.0
RHS8D36,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO ,FIAT FIORINO ,2022,3.0
SDU9E81,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V ,VW SAVEIRO ,VW SAVEIRO ,2022,3.0
SDU9F92,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V ,VW SAVEIRO ,VW SAVEIRO ,2022,3.0
SDU9G03,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V ,VW SAVEIRO ,VW SAVEIRO ,2023,2.0
SEI5B88,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V ,VW SAVEIRO ,VW SAVEIRO ,2023,2.0
SEP6E15,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V ,VW SAVEIRO ,VW SAVEIRO ,2023,2.0
SEH4I03,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER,2024,2.0
SEU3H09,Caminhão4.2Ton,HD80 3.0 16V (DIESEL)(E5),HY HD80 ,CAMINHÃO 3/4,2023,2.0
SEC7A68,Leve,ARGO 1.0 6V FLEX.,FIAT ARGO,FIAT ARGO,2023,2.0
TBK1J34,Pesado,SPRINTER 517 F. EXT. L.P.T.A. DIE. (E6),MB SPRINTER ,MB SPRINTER ,2025,0.0
TBK1J46,Pesado,SPRINTER 517 F. EXT. L.P.T.A. DIE. (E6),MB SPRINTER ,MB SPRINTER ,2025,0.0
TBE5I67,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V ,VW SAVEIRO ,VW SAVEIRO ,2024,1.0
TBE5I64,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V ,VW SAVEIRO ,VW SAVEIRO ,2024,1.0
TBE5I62,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V ,VW SAVEIRO ,VW SAVEIRO ,2024,1.0
TBE5I65,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V ,VW SAVEIRO ,VW SAVEIRO ,2024,1.0
TBE5I66,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V ,VW SAVEIRO ,VW SAVEIRO ,2024,1.0
TBE5I63,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V ,VW SAVEIRO ,VW SAVEIRO ,2024,1.0
SDT4B08,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2023,3.0
SFD5C40,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2024,2.0
TAI4I92,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2024,2.0
SEE9I35,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2023,3.0
SDX2A65,Médio,PARTNER RAPID BUSIN.1.4 FLEX MEC.,PEUGEOT ,PEUGEOT PARTNER ,2023,2.0
SFA8I75,Leve,POLO TRACK 1.0 FLEX 12V 5P,VW POLO,VW POLO,2023,3.0
SEC5E64,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2023,3.0
SEP8G12,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2023,3.0
TBQ1G07,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
TBS6E45,Caminhão12Ton,VM 290 6X2 2P (DIESEL) (E6),VOLVO VM 290,CAMINHÃO TRUCK ,2024,1.0
TBJ8E28,Médio,FIORINO ENDURANCE 1.3 FLEX 8V 2P,FIAT FIORINO ,FIAT FIORINO ,2025,0.0
TBQ1G09,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
SDW2F08,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2023,3.0
SEP8F99,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2023,3.0
TBQ1G10,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
TBQ1G12,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
TAX6J56,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO ,FIAT FIORINO ,2025,0.0
TBQ1G08,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
SER6J18,Leve,CRONOS DRIVE 1.0 6V FLEX,FIAT CRONOS,FIAT CRONOS,2023,2.0
BEB5D93,Leve,VOYAGE 1.6 MSI FLEX 8V 4P,VW VOYAGE,VW VOYAGE,2021,4.0
SDT8J77,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA ,2022,4.0
SDW2G50,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA,2024,2.0
TAN3H91,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2024,2.0
SFE4B63,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2024,2.0
SES1H28,Leve,CRONOS DRIVE 1.0 6V FLEX,VW GOL 1 0,VW GOL ,2023,2.0
TBW9G12,Caminhão12Ton,26-260 CONSTELLATION 6X2 2P (DIESEL)(E6),VOLVO VM 290,CAMINHÃO TRUCK ,2024,1.0
SDT4A76,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA,2022,4.0
SDT4B61,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA,2022,4.0
SDT4B56,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA,2022,4.0
SFI6G50,Leve,VIRTUS TSI 1.0 FLEX 12V 4P AUT.,VW VIRTUS,VW VIRTUS,2024,1.0
SFA8J05,Leve,POLO TRACK 1.0 FLEX 12V 5P,VW POLO,VW POLO,2023,3.0
RHF1B93,Leve,UNO DRIVE 1.0 FLEX 6V 5P,FIAT UNO,FIAT UNO ,2021,4.0
TBZ6H92,Leve,SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.,MB SPRINTER ,MB SPRINTER ,2024,1.0
SFN4F71,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA,2024,2.0
SFK0F56,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2024,2.0
SFN1H57,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2024,2.0
SFN1H25,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2024,2.0
UAV5J69,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2025,1.0
UAV5J71,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2025,1.0
UAV5J73,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2025,1.0
UAV5J75,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2025,1.0
SFL2F19,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA ,FIAT STRADA,2024,2.0
SEG5A93,Leve,POLO TRACK 1.0 FLEX 12V 5P,VW POLO,VW POLO,2023,3.0
UBA9H32,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,1.0
UBA9H34,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,1.0
UBC1A56,Pesado,SPRINTER 517 F. EXT. L.P.T.A. DIE. (E6),MB SPRINTER,MB SPRINTER,2025,0.0
SFD5C38,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA,2024,2.0
SFJ4D49,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA,2025,1.0
UBF1G83,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
UBF1G84,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
UBF1G86,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
SEP3C30,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA,2023,2.0
UBD1I77,Pesado,TRANSIT FURGÃO 2.0 LONGO,FORD TRANSIT,FORD TRANSIT,2025,1.0
SFG3J52,Leve,POLO TRACK 1.0 FLEX 12V 5P,VW POLO,VW POLO,2023,3.0
SEP3C43,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA,2023,2.0
UBD6I31,Pesado,TRANSIT FURGÃO 2.0 LONGO,FORD TRANSIT,FORD TRANSIT,2025,
UBF1G63,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
UBF1G85,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
UBF1G87,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
UBH2J70,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER,2025,0.0
SEP8G07,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA,2023,2.0
SFC4I42,Leve,ARGO 1.0 6V FLEX.,FIAT ARGO,FIAT ARGO,2023,2.0
SFH5H88,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA ,FIAT STRADA,2023,2.0
SFI8F53,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 16V ,VW SAVEIRO ,VW SAVEIRO ,2024,1.0
SFG4I63,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO ,FIAT FIORINO ,2024,1.0
SFI7I21,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO ,FIAT FIORINO ,2024,1.0
SFG5J27,Médio,STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,FIAT STRADA,2025,1.0
